Year,School,Operating_Cost_MSEK,Personnel_Cost_MSEK,Cost_Per_Student_KSEK
2023.0,Skola_01,35.59,16.29,114.0
2024.0,Skola_01,43.16,44.67,122.8
2025.0,Skola_01,51.78,56.95,137.2
2023.0,Skola_02,30.07,24.93,116.0
2024.0,Skola_02,26.51,47.36,133.4
2025.0,Skola_02,40.42,53.84,122.6
2023.0,Skola_03,36.09,41.35,128.6
2024.0,Skola_03,67.21,56.74,140.7
2025.0,Skola_03,48.04,33.0,96.2
2023.0,Skola_04,48.3,21.79,101.0
2024.0,Skola_04,73.4,14.96,101.5
2025.0,Skola_04,63.85,38.96,116.5
2023.0,Skola_05,72.88,24.48,105.3
2024.0,Skola_05,54.36,18.69,129.5
2025.0,Skola_05,80.91,49.7,139.1
2023.0,Skola_06,26.6,32.66,140.1
2024.0,Skola_06,75.01,40.13,127.7
2025.0,Skola_06,38.76,25.67,98.3
2023.0,Skola_07,78.82,26.72,144.6
2024.0,Skola_07,22.43,49.16,121.3
2025.0,Skola_07,24.65,43.18,130.1
2023.0,Skola_08,66.08,44.62,128.9
2024.0,Skola_08,70.36,30.72,142.9
2025.0,Skola_08,52.42,25.78,144.6
2023.0,Skola_09,39.61,33.39,129.9
2024.0,Skola_09,72.28,27.93,96.8
2025.0,Skola_09,58.42,40.05,131.5
2023.0,Skola_10,38.44,50.11,133.7
2024.0,Skola_10,76.28,47.26,128.7
2025.0,Skola_10,56.91,51.73,106.3
2023.0,Skola_11,63.9,48.85,133.7
2024.0,Skola_11,30.17,27.81,141.6
2025.0,Skola_11,70.8,20.81,119.2
2023.0,Skola_12,73.08,51.82,121.0
2024.0,Skola_12,28.39,23.65,96.2
2025.0,Skola_12,32.44,16.69,130.0
2023.0,Skola_13,66.16,33.51,139.0
2024.0,Skola_13,31.22,22.54,125.6
2025.0,Skola_13,55.27,19.38,140.3
2023.0,Skola_14,61.18,40.75,113.7
2024.0,Skola_14,60.19,17.15,110.1
2025.0,Skola_14,61.9,40.34,121.3
2023.0,Skola_15,25.35,28.15,144.2
2024.0,Skola_15,81.42,50.09,98.2
2025.0,Skola_15,26.63,23.36,136.4
2023.0,Skola_16,34.85,23.91,108.0
2024.0,Skola_16,68.19,37.21,138.0
2025.0,Skola_16,26.79,16.27,137.3
2023.0,Skola_17,28.86,45.46,125.2
2024.0,Skola_17,35.06,25.45,132.0
2025.0,Skola_17,23.37,56.05,97.2
2023.0,Skola_18,32.18,42.16,100.7
2024.0,Skola_18,84.85,33.05,98.4
2025.0,Skola_18,32.4,37.86,138.5
2023.0,Skola_19,38.19,31.57,123.4
2024.0,Skola_19,62.99,45.82,111.2
2025.0,Skola_19,45.35,52.44,140.3
2023.0,Skola_20,48.3,57.85,103.8
2024.0,Skola_20,73.87,53.99,123.2
2025.0,Skola_20,65.59,16.64,137.1
2023.0,Skola_21,65.04,39.45,124.1
2024.0,Skola_21,32.08,51.28,121.5
2025.0,Skola_21,60.3,21.48,126.4
2023.0,Skola_22,37.02,47.54,96.4
2024.0,Skola_22,29.84,23.29,115.0
2025.0,Skola_22,76.85,14.3,122.8
2023.0,Skola_23,24.27,30.7,109.9
2024.0,Skola_23,32.34,35.09,112.1
2025.0,Skola_23,38.5,40.91,107.2
2023.0,Skola_24,83.24,24.98,144.4
2024.0,Skola_24,32.17,55.8,98.1
2025.0,Skola_24,22.47,18.29,130.4
2023.0,Skola_25,36.66,26.13,128.7
2024.0,Skola_25,23.86,37.77,115.0
2025.0,Skola_25,32.17,54.12,113.0
,Skola_27,,,
,Skola_29,,,
,Skola_26,,,
,Skola_28,,,
,Skola_30,,,
