Year,School,Enrolled_Students,Grade_F1_3,Grade_4_6,Grade_7_9,Special_Needs_Ratio,Foreign_Background_Ratio,Avg_Distance_To_School_km,Avg_Merit_Score_Grade9
2023.0,Skola_01,427.0,120.0,141.0,146.0,0.178,0.332,1.39,262.6
2024.0,Skola_01,485.0,159.0,163.0,171.0,0.176,0.426,1.38,233.5
2025.0,Skola_01,359.0,116.0,111.0,101.0,0.108,0.492,0.88,210.5
2023.0,Skola_02,382.0,133.0,129.0,137.0,0.132,0.348,1.1,244.0
2024.0,Skola_02,244.0,74.0,81.0,86.0,0.179,0.322,0.74,259.8
2025.0,Skola_02,349.0,104.0,106.0,119.0,0.115,0.306,4.44,261.7
2023.0,Skola_03,694.0,224.0,226.0,232.0,0.101,0.347,3.73,221.0
2024.0,Skola_03,608.0,179.0,201.0,196.0,0.112,0.471,1.36,221.6
2025.0,Skola_03,491.0,175.0,176.0,145.0,0.128,0.487,1.22,259.6
2023.0,Skola_04,285.0,101.0,99.0,80.0,0.08,0.303,2.91,242.3
2024.0,Skola_04,411.0,139.0,146.0,134.0,0.109,0.452,3.62,249.4
2025.0,Skola_04,283.0,101.0,101.0,88.0,0.139,0.262,4.75,259.1
2023.0,Skola_05,793.0,270.0,246.0,241.0,0.105,0.429,1.08,263.7
2024.0,Skola_05,874.0,290.0,262.0,263.0,0.155,0.531,3.47,239.9
2025.0,Skola_05,853.0,295.0,285.0,258.0,0.131,0.439,1.76,260.8
2023.0,Skola_06,465.0,155.0,142.0,133.0,0.143,0.334,1.81,263.4
2024.0,Skola_06,399.0,126.0,141.0,113.0,0.136,0.348,0.84,255.2
2025.0,Skola_06,446.0,145.0,150.0,150.0,0.104,0.468,4.68,232.7
2023.0,Skola_07,754.0,233.0,242.0,263.0,0.113,0.517,3.34,229.7
2024.0,Skola_07,632.0,208.0,205.0,208.0,0.17,0.43,1.61,222.2
2025.0,Skola_07,916.0,313.0,282.0,326.0,0.133,0.263,4.52,231.5
2023.0,Skola_08,297.0,95.0,90.0,85.0,0.095,0.298,0.92,212.8
2024.0,Skola_08,406.0,115.0,137.0,144.0,0.176,0.367,4.43,224.2
2025.0,Skola_08,455.0,127.0,163.0,129.0,0.119,0.412,4.36,259.4
2023.0,Skola_09,912.0,287.0,321.0,310.0,0.091,0.459,4.35,218.2
2024.0,Skola_09,893.0,274.0,292.0,262.0,0.12,0.328,0.93,233.9
2025.0,Skola_09,816.0,259.0,249.0,242.0,0.174,0.345,4.36,241.5
2023.0,Skola_10,280.0,79.0,97.0,78.0,0.147,0.3,2.11,267.2
2024.0,Skola_10,237.0,67.0,81.0,79.0,0.105,0.523,3.77,260.6
2025.0,Skola_10,293.0,88.0,100.0,82.0,0.131,0.488,3.71,216.5
2023.0,Skola_11,478.0,170.0,155.0,155.0,0.114,0.49,0.71,261.5
2024.0,Skola_11,671.0,202.0,236.0,210.0,0.177,0.368,4.15,253.5
2025.0,Skola_11,664.0,186.0,217.0,200.0,0.125,0.529,1.43,248.2
2023.0,Skola_12,565.0,170.0,185.0,202.0,0.114,0.464,4.14,231.6
2024.0,Skola_12,841.0,301.0,276.0,287.0,0.153,0.485,2.07,242.4
2025.0,Skola_12,538.0,173.0,169.0,169.0,0.17,0.492,2.69,231.1
2023.0,Skola_13,418.0,119.0,140.0,119.0,0.12,0.401,0.84,243.4
2024.0,Skola_13,505.0,173.0,180.0,181.0,0.108,0.308,2.7,243.5
2025.0,Skola_13,465.0,136.0,148.0,144.0,0.164,0.546,4.52,223.5
2023.0,Skola_14,764.0,236.0,269.0,242.0,0.125,0.316,3.79,223.2
2024.0,Skola_14,523.0,184.0,182.0,152.0,0.105,0.362,1.59,243.8
2025.0,Skola_14,610.0,204.0,184.0,182.0,0.129,0.535,2.87,230.2
2023.0,Skola_15,575.0,172.0,184.0,170.0,0.166,0.459,2.39,252.0
2024.0,Skola_15,743.0,217.0,236.0,216.0,0.166,0.51,1.46,254.7
2025.0,Skola_15,548.0,180.0,184.0,170.0,0.095,0.365,1.99,244.5
2023.0,Skola_16,299.0,85.0,92.0,84.0,0.09,0.28,4.64,263.6
2024.0,Skola_16,248.0,88.0,76.0,85.0,0.096,0.268,4.03,261.0
2025.0,Skola_16,288.0,97.0,95.0,99.0,0.091,0.431,4.76,218.9
2023.0,Skola_17,331.0,95.0,106.0,116.0,0.178,0.27,1.0,243.4
2024.0,Skola_17,369.0,128.0,113.0,114.0,0.129,0.393,0.86,229.0
2025.0,Skola_17,448.0,150.0,156.0,148.0,0.084,0.474,2.43,228.1
2023.0,Skola_18,689.0,210.0,207.0,247.0,0.177,0.411,3.23,250.1
2024.0,Skola_18,512.0,161.0,171.0,165.0,0.18,0.364,2.9,259.5
2025.0,Skola_18,714.0,220.0,246.0,215.0,0.166,0.461,3.38,263.5
2023.0,Skola_19,565.0,166.0,200.0,199.0,0.088,0.482,0.76,218.1
2024.0,Skola_19,753.0,260.0,248.0,227.0,0.136,0.53,3.91,214.0
2025.0,Skola_19,841.0,237.0,274.0,269.0,0.105,0.364,1.12,249.5
2023.0,Skola_20,434.0,144.0,155.0,125.0,0.136,0.541,2.27,252.3
2024.0,Skola_20,472.0,168.0,153.0,138.0,0.151,0.47,4.31,217.9
2025.0,Skola_20,404.0,139.0,129.0,136.0,0.163,0.525,1.89,258.7
2023.0,Skola_21,469.0,163.0,153.0,150.0,0.099,0.344,3.69,267.5
2024.0,Skola_21,587.0,184.0,184.0,195.0,0.122,0.518,1.78,244.7
2025.0,Skola_21,497.0,172.0,153.0,139.0,0.131,0.357,1.9,256.3
2023.0,Skola_22,540.0,172.0,170.0,153.0,0.087,0.542,2.39,239.5
2024.0,Skola_22,374.0,125.0,125.0,133.0,0.143,0.271,3.45,225.3
2025.0,Skola_22,356.0,117.0,111.0,123.0,0.169,0.332,3.78,226.2
2023.0,Skola_23,454.0,158.0,147.0,132.0,0.106,0.367,0.92,252.5
2024.0,Skola_23,385.0,138.0,121.0,115.0,0.08,0.472,3.66,247.1
2025.0,Skola_23,393.0,118.0,128.0,136.0,0.08,0.548,3.02,220.9
2023.0,Skola_24,350.0,107.0,105.0,101.0,0.102,0.49,2.78,240.9
2024.0,Skola_24,329.0,96.0,99.0,107.0,0.099,0.413,4.06,262.8
2025.0,Skola_24,295.0,90.0,95.0,91.0,0.122,0.388,3.8,228.3
2023.0,Skola_25,281.0,79.0,96.0,97.0,0.179,0.505,1.57,241.4
2024.0,Skola_25,354.0,121.0,118.0,99.0,0.143,0.368,3.92,254.8
2025.0,Skola_25,285.0,97.0,90.0,94.0,0.082,0.352,4.61,265.5
,Skola_27,,,,,,,,
,Skola_29,,,,,,,,
,Skola_26,,,,,,,,
,Skola_28,,,,,,,,
,Skola_30,,,,,,,,
