Year,School,Enrolled_Students,Grade_F1_3,Grade_4_6,Grade_7_9,Special_Needs_Ratio,Foreign_Background_Ratio,Avg_Distance_To_School_km,Avg_Merit_Score_Grade9
2023,Skola_01,427,120,141,146,0.178,0.332,1.39,262.6
2024,Skola_01,485,159,163,171,0.176,0.426,1.38,233.5
2025,Skola_01,359,116,111,101,0.108,0.492,0.88,210.5
2023,Skola_02,382,133,129,137,0.132,0.348,1.1,244.0
2024,Skola_02,244,74,81,86,0.179,0.322,0.74,259.8
2025,Skola_02,349,104,106,119,0.115,0.306,4.44,261.7
2023,Skola_03,694,224,226,232,0.101,0.347,3.73,221.0
2024,Skola_03,608,179,201,196,0.112,0.471,1.36,221.6
2025,Skola_03,491,175,176,145,0.128,0.487,1.22,259.6
2023,Skola_04,285,101,99,80,0.08,0.303,2.91,242.3
2024,Skola_04,411,139,146,134,0.109,0.452,3.62,249.4
2025,Skola_04,283,101,101,88,0.139,0.262,4.75,259.1
2023,Skola_05,793,270,246,241,0.105,0.429,1.08,263.7
2024,Skola_05,874,290,262,263,0.155,0.531,3.47,239.9
2025,Skola_05,853,295,285,258,0.131,0.439,1.76,260.8
2023,Skola_06,465,155,142,133,0.143,0.334,1.81,263.4
2024,Skola_06,399,126,141,113,0.136,0.348,0.84,255.2
2025,Skola_06,446,145,150,150,0.104,0.468,4.68,232.7
2023,Skola_07,754,233,242,263,0.113,0.517,3.34,229.7
2024,Skola_07,632,208,205,208,0.17,0.43,1.61,222.2
2025,Skola_07,916,313,282,326,0.133,0.263,4.52,231.5
2023,Skola_08,297,95,90,85,0.095,0.298,0.92,212.8
2024,Skola_08,406,115,137,144,0.176,0.367,4.43,224.2
2025,Skola_08,455,127,163,129,0.119,0.412,4.36,259.4
2023,Skola_09,912,287,321,310,0.091,0.459,4.35,218.2
2024,Skola_09,893,274,292,262,0.12,0.328,0.93,233.9
2025,Skola_09,816,259,249,242,0.174,0.345,4.36,241.5
2023,Skola_10,280,79,97,78,0.147,0.3,2.11,267.2
2024,Skola_10,237,67,81,79,0.105,0.523,3.77,260.6
2025,Skola_10,293,88,100,82,0.131,0.488,3.71,216.5
2023,Skola_11,478,170,155,155,0.114,0.49,0.71,261.5
2024,Skola_11,671,202,236,210,0.177,0.368,4.15,253.5
2025,Skola_11,664,186,217,200,0.125,0.529,1.43,248.2
2023,Skola_12,565,170,185,202,0.114,0.464,4.14,231.6
2024,Skola_12,841,301,276,287,0.153,0.485,2.07,242.4
2025,Skola_12,538,173,169,169,0.17,0.492,2.69,231.1
2023,Skola_13,418,119,140,119,0.12,0.401,0.84,243.4
2024,Skola_13,505,173,180,181,0.108,0.308,2.7,243.5
2025,Skola_13,465,136,148,144,0.164,0.546,4.52,223.5
2023,Skola_14,764,236,269,242,0.125,0.316,3.79,223.2
2024,Skola_14,523,184,182,152,0.105,0.362,1.59,243.8
2025,Skola_14,610,204,184,182,0.129,0.535,2.87,230.2
2023,Skola_15,575,172,184,170,0.166,0.459,2.39,252.0
2024,Skola_15,743,217,236,216,0.166,0.51,1.46,254.7
2025,Skola_15,548,180,184,170,0.095,0.365,1.99,244.5
2023,Skola_16,299,85,92,84,0.09,0.28,4.64,263.6
2024,Skola_16,248,88,76,85,0.096,0.268,4.03,261.0
2025,Skola_16,288,97,95,99,0.091,0.431,4.76,218.9
2023,Skola_17,331,95,106,116,0.178,0.27,1.0,243.4
2024,Skola_17,369,128,113,114,0.129,0.393,0.86,229.0
2025,Skola_17,448,150,156,148,0.084,0.474,2.43,228.1
2023,Skola_18,689,210,207,247,0.177,0.411,3.23,250.1
2024,Skola_18,512,161,171,165,0.18,0.364,2.9,259.5
2025,Skola_18,714,220,246,215,0.166,0.461,3.38,263.5
2023,Skola_19,565,166,200,199,0.088,0.482,0.76,218.1
2024,Skola_19,753,260,248,227,0.136,0.53,3.91,214.0
2025,Skola_19,841,237,274,269,0.105,0.364,1.12,249.5
2023,Skola_20,434,144,155,125,0.136,0.541,2.27,252.3
2024,Skola_20,472,168,153,138,0.151,0.47,4.31,217.9
2025,Skola_20,404,139,129,136,0.163,0.525,1.89,258.7
2023,Skola_21,469,163,153,150,0.099,0.344,3.69,267.5
2024,Skola_21,587,184,184,195,0.122,0.518,1.78,244.7
2025,Skola_21,497,172,153,139,0.131,0.357,1.9,256.3
2023,Skola_22,540,172,170,153,0.087,0.542,2.39,239.5
2024,Skola_22,374,125,125,133,0.143,0.271,3.45,225.3
2025,Skola_22,356,117,111,123,0.169,0.332,3.78,226.2
2023,Skola_23,454,158,147,132,0.106,0.367,0.92,252.5
2024,Skola_23,385,138,121,115,0.08,0.472,3.66,247.1
2025,Skola_23,393,118,128,136,0.08,0.548,3.02,220.9
2023,Skola_24,350,107,105,101,0.102,0.49,2.78,240.9
2024,Skola_24,329,96,99,107,0.099,0.413,4.06,262.8
2025,Skola_24,295,90,95,91,0.122,0.388,3.8,228.3
2023,Skola_25,281,79,96,97,0.179,0.505,1.57,241.4
2024,Skola_25,354,121,118,99,0.143,0.368,3.92,254.8
2025,Skola_25,285,97,90,94,0.082,0.352,4.61,265.5
