Year,School,District,Capacity_Students,Enrolled_Students,Teachers_FTE,Support_Staff_FTE,Student_Teacher_Ratio,Special_Needs_Ratio,Foreign_Background_Ratio,Avg_Student_Distance_km,Avg_Teacher_Commute_km,Operating_Cost_MSEK,Maintenance_Cost_MSEK,Sick_Leave_Ratio,Teacher_Turnover_Ratio,Avg_Merit_Score_Grade9
2022,Skola_01,Sydväst,570,448,26,10,17.23,0.125,0.28,2.5,11.34,44.8,9.41,0.042,0.144,261.6
2023,Skola_01,Sydväst,570,471,31,10,15.19,0.11,0.407,2.4,10.66,54.83,6.5,0.052,0.098,235.1
2024,Skola_01,Sydväst,570,516,31,11,16.65,0.178,0.39,3.98,16.88,57.16,5.78,0.078,0.123,231.2
2025,Skola_01,Sydväst,570,431,29,12,14.86,0.124,0.287,2.63,6.55,54.66,7.18,0.067,0.091,238.6
2022,Skola_02,Hisingen,776,655,37,14,17.7,0.12,0.528,3.49,11.22,75.3,11.8,0.078,0.16,251.1
2023,Skola_02,Hisingen,776,517,31,15,16.68,0.141,0.333,1.9,8.64,49.4,11.05,0.056,0.088,210.8
2024,Skola_02,Hisingen,776,545,32,14,17.03,0.141,0.528,3.21,20.64,67.99,11.25,0.044,0.098,246.8
2025,Skola_02,Hisingen,776,757,44,18,17.2,0.169,0.392,1.24,17.41,92.07,12.12,0.071,0.114,238.8
2022,Skola_03,Hisingen,853,890,61,18,14.59,0.144,0.344,2.68,20.52,92.32,12.03,0.07,0.08,214.2
2023,Skola_03,Hisingen,853,697,41,19,17.0,0.142,0.339,1.19,13.3,71.54,12.08,0.075,0.092,216.7
2024,Skola_03,Hisingen,853,741,42,14,17.64,0.145,0.25,2.1,10.88,74.67,13.09,0.059,0.14,224.8
2025,Skola_03,Hisingen,853,662,37,13,17.89,0.132,0.461,2.15,21.55,85.19,10.68,0.06,0.089,225.7
2022,Skola_04,Centrum,412,248,15,4,16.53,0.108,0.522,1.69,8.32,27.81,8.18,0.05,0.137,251.9
2023,Skola_04,Centrum,412,369,24,11,15.38,0.127,0.545,2.28,19.06,45.37,4.74,0.06,0.14,257.2
2024,Skola_04,Centrum,412,410,29,11,14.14,0.103,0.444,1.45,17.06,44.5,7.98,0.046,0.094,216.2
2025,Skola_04,Centrum,412,397,24,10,16.54,0.103,0.302,4.43,14.27,41.34,8.22,0.079,0.123,258.5
2022,Skola_05,Centrum,532,417,24,11,17.38,0.166,0.371,4.08,19.61,53.27,9.5,0.067,0.125,230.5
2023,Skola_05,Centrum,532,535,32,9,16.72,0.096,0.415,3.36,16.43,55.02,9.11,0.049,0.092,251.1
2024,Skola_05,Centrum,532,446,26,11,17.15,0.111,0.413,2.68,16.18,46.28,8.46,0.079,0.113,259.8
2025,Skola_05,Centrum,532,345,20,8,17.25,0.138,0.398,1.52,17.56,36.17,5.45,0.066,0.073,261.7
2022,Skola_06,Västra,345,323,18,8,17.94,0.175,0.349,2.85,15.16,41.77,3.71,0.052,0.075,224.8
2023,Skola_06,Västra,345,273,18,7,15.17,0.174,0.459,2.91,7.55,31.81,6.87,0.046,0.117,258.3
2024,Skola_06,Västra,345,223,15,4,14.87,0.151,0.416,1.9,12.72,23.18,5.56,0.043,0.051,244.5
2025,Skola_06,Västra,345,226,15,6,15.07,0.16,0.517,2.05,12.01,22.21,5.45,0.041,0.111,239.8
2022,Skola_07,Västra,449,326,18,6,18.11,0.084,0.341,2.79,11.23,40.42,5.71,0.079,0.109,256.3
2023,Skola_07,Västra,449,384,24,10,16.0,0.094,0.29,4.39,17.43,37.03,6.28,0.057,0.147,223.8
2024,Skola_07,Västra,449,385,26,10,14.81,0.149,0.267,4.19,13.08,39.81,4.91,0.047,0.171,245.1
2025,Skola_07,Västra,449,457,26,10,17.58,0.141,0.376,1.72,11.7,55.54,4.55,0.045,0.056,212.2
2022,Skola_08,Sydväst,752,654,46,20,14.22,0.161,0.354,2.52,16.4,63.23,14.66,0.075,0.084,210.8
2023,Skola_08,Sydväst,752,597,37,17,16.14,0.146,0.299,1.06,16.28,57.27,11.93,0.078,0.125,231.3
2024,Skola_08,Sydväst,752,483,30,12,16.1,0.174,0.366,4.36,20.49,49.19,8.04,0.044,0.052,215.2
2025,Skola_08,Sydväst,752,485,31,13,15.65,0.119,0.454,2.06,10.17,54.5,12.73,0.054,0.172,212.2
2022,Skola_09,Centrum,576,593,36,13,16.47,0.137,0.423,3.51,8.04,61.52,9.1,0.075,0.123,223.1
2023,Skola_09,Centrum,576,527,30,13,17.57,0.09,0.521,2.67,19.22,55.97,10.92,0.056,0.051,259.8
2024,Skola_09,Centrum,576,420,27,13,15.56,0.148,0.395,2.62,7.33,41.25,9.23,0.062,0.078,262.0
2025,Skola_09,Centrum,576,488,28,8,17.43,0.129,0.267,2.83,13.06,61.52,7.78,0.045,0.069,251.9
2022,Skola_10,Sydväst,552,560,39,17,14.36,0.087,0.497,3.41,7.3,54.86,10.97,0.055,0.098,254.7
2023,Skola_10,Sydväst,552,401,22,9,18.23,0.118,0.275,3.68,14.93,44.05,10.52,0.044,0.114,210.6
2024,Skola_10,Sydväst,552,550,33,14,16.67,0.157,0.497,3.55,16.9,56.82,7.73,0.059,0.061,239.1
2025,Skola_10,Sydväst,552,447,25,7,17.88,0.177,0.263,4.1,14.44,58.0,5.93,0.062,0.176,238.8
2022,Skola_11,Centrum,604,375,24,11,15.62,0.15,0.365,3.53,20.64,48.21,6.39,0.056,0.064,228.5
2023,Skola_11,Centrum,604,483,32,12,15.09,0.115,0.425,1.09,21.59,62.56,10.26,0.061,0.09,254.8
2024,Skola_11,Centrum,604,581,38,12,15.29,0.088,0.532,2.34,15.3,73.89,6.54,0.075,0.122,219.1
2025,Skola_11,Centrum,604,426,26,12,16.38,0.118,0.475,2.25,19.27,48.96,6.42,0.041,0.067,210.8
