Year,School,Teachers_FTE,Support_Staff_FTE,Avg_Teacher_Commute_km,Sick_Leave_Ratio,Teacher_Turnover_Ratio,Avg_Teacher_Age
2023.0,Skola_01,46.0,17.0,7.87,0.042,0.154,40.1
2024.0,Skola_01,39.0,12.0,11.03,0.068,0.068,50.9
2025.0,Skola_01,26.0,9.0,21.68,0.046,0.105,50.2
2023.0,Skola_02,56.0,27.0,6.62,0.064,0.152,40.7
2024.0,Skola_02,29.0,12.0,15.44,0.071,0.06,45.4
2025.0,Skola_02,20.0,7.0,20.71,0.049,0.125,44.7
2023.0,Skola_03,42.0,20.0,20.48,0.063,0.135,49.7
2024.0,Skola_03,28.0,10.0,21.55,0.063,0.096,40.2
2025.0,Skola_03,21.0,10.0,21.28,0.068,0.106,38.9
2023.0,Skola_04,20.0,8.0,18.0,0.047,0.066,45.5
2024.0,Skola_04,33.0,14.0,9.32,0.062,0.075,44.9
2025.0,Skola_04,34.0,14.0,22.51,0.054,0.091,41.8
2023.0,Skola_05,63.0,25.0,9.71,0.08,0.067,47.5
2024.0,Skola_05,35.0,14.0,13.63,0.048,0.147,46.7
2025.0,Skola_05,32.0,15.0,17.17,0.045,0.131,46.2
2023.0,Skola_06,34.0,13.0,19.0,0.049,0.072,50.1
2024.0,Skola_06,64.0,22.0,11.37,0.053,0.148,44.3
2025.0,Skola_06,29.0,12.0,21.7,0.043,0.162,41.9
2023.0,Skola_07,53.0,22.0,8.6,0.072,0.104,42.1
2024.0,Skola_07,56.0,27.0,17.83,0.057,0.108,38.4
2025.0,Skola_07,31.0,12.0,21.03,0.078,0.091,43.7
2023.0,Skola_08,60.0,20.0,18.45,0.051,0.115,49.3
2024.0,Skola_08,35.0,18.0,16.99,0.053,0.096,38.0
2025.0,Skola_08,24.0,12.0,9.49,0.062,0.198,43.1
2023.0,Skola_09,55.0,26.0,22.44,0.06,0.145,38.6
2024.0,Skola_09,18.0,7.0,7.11,0.045,0.136,41.7
2025.0,Skola_09,55.0,22.0,15.71,0.054,0.102,45.2
2023.0,Skola_10,29.0,15.0,16.63,0.069,0.112,42.1
2024.0,Skola_10,33.0,13.0,16.39,0.046,0.146,50.7
2025.0,Skola_10,32.0,13.0,7.35,0.063,0.196,45.1
2023.0,Skola_11,55.0,20.0,17.53,0.079,0.123,44.4
2024.0,Skola_11,27.0,9.0,15.15,0.057,0.144,44.1
2025.0,Skola_11,20.0,7.0,7.93,0.052,0.154,39.3
2023.0,Skola_12,43.0,16.0,23.72,0.068,0.161,49.7
2024.0,Skola_12,26.0,11.0,20.66,0.043,0.176,42.8
2025.0,Skola_12,59.0,29.0,20.85,0.06,0.175,45.1
2023.0,Skola_13,50.0,17.0,11.74,0.069,0.185,50.4
2024.0,Skola_13,40.0,15.0,20.56,0.061,0.092,50.2
2025.0,Skola_13,42.0,20.0,15.11,0.058,0.189,46.3
2023.0,Skola_14,50.0,20.0,8.22,0.061,0.116,43.7
2024.0,Skola_14,35.0,13.0,13.51,0.075,0.19,38.2
2025.0,Skola_14,18.0,8.0,12.1,0.062,0.074,42.2
2023.0,Skola_15,20.0,9.0,14.34,0.057,0.152,44.9
2024.0,Skola_15,38.0,19.0,16.07,0.062,0.095,43.1
2025.0,Skola_15,25.0,8.0,13.26,0.08,0.086,50.8
2023.0,Skola_16,42.0,21.0,14.29,0.072,0.167,44.3
2024.0,Skola_16,43.0,21.0,9.32,0.077,0.18,47.4
2025.0,Skola_16,44.0,15.0,6.29,0.042,0.163,44.4
2023.0,Skola_17,59.0,26.0,20.61,0.052,0.189,50.7
2024.0,Skola_17,57.0,25.0,5.09,0.068,0.099,42.6
2025.0,Skola_17,46.0,14.0,8.55,0.045,0.104,47.3
2023.0,Skola_18,37.0,16.0,17.62,0.041,0.072,44.8
2024.0,Skola_18,18.0,9.0,10.68,0.058,0.077,44.5
2025.0,Skola_18,21.0,7.0,20.51,0.046,0.172,43.5
2023.0,Skola_19,19.0,6.0,21.19,0.061,0.068,46.2
2024.0,Skola_19,41.0,14.0,16.29,0.079,0.08,48.7
2025.0,Skola_19,36.0,19.0,16.27,0.052,0.144,42.3
2023.0,Skola_20,50.0,26.0,9.55,0.081,0.126,42.0
2024.0,Skola_20,45.0,20.0,20.34,0.074,0.121,49.9
2025.0,Skola_20,23.0,9.0,18.36,0.083,0.117,47.0
2023.0,Skola_21,29.0,15.0,11.04,0.062,0.188,41.9
2024.0,Skola_21,20.0,10.0,15.89,0.056,0.165,46.1
2025.0,Skola_21,64.0,20.0,10.73,0.071,0.166,44.6
2023.0,Skola_22,42.0,22.0,10.44,0.074,0.115,39.5
2024.0,Skola_22,19.0,9.0,15.02,0.06,0.14,46.6
2025.0,Skola_22,32.0,13.0,23.73,0.05,0.121,49.6
2023.0,Skola_23,55.0,23.0,11.22,0.08,0.119,45.1
2024.0,Skola_23,22.0,10.0,21.57,0.066,0.079,45.8
2025.0,Skola_23,43.0,19.0,24.83,0.081,0.113,38.5
2023.0,Skola_24,52.0,19.0,12.2,0.041,0.063,38.1
2024.0,Skola_24,23.0,7.0,10.0,0.048,0.077,39.7
2025.0,Skola_24,61.0,30.0,9.09,0.082,0.122,47.3
2023.0,Skola_25,30.0,10.0,20.57,0.054,0.153,38.0
2024.0,Skola_25,21.0,10.0,16.94,0.055,0.094,38.8
2025.0,Skola_25,59.0,25.0,10.76,0.046,0.1,47.9
,Skola_27,,,,,,
,Skola_29,,,,,,
,Skola_26,,,,,,
,Skola_28,,,,,,
,Skola_30,,,,,,
