Year,School,Teachers_FTE,Support_Staff_FTE,Avg_Teacher_Commute_km,Sick_Leave_Ratio,Teacher_Turnover_Ratio,Avg_Teacher_Age
2023,Skola_01,46,17,7.87,0.042,0.154,40.1
2024,Skola_01,39,12,11.03,0.068,0.068,50.9
2025,Skola_01,26,9,21.68,0.046,0.105,50.2
2023,Skola_02,56,27,6.62,0.064,0.152,40.7
2024,Skola_02,29,12,15.44,0.071,0.06,45.4
2025,Skola_02,20,7,20.71,0.049,0.125,44.7
2023,Skola_03,42,20,20.48,0.063,0.135,49.7
2024,Skola_03,28,10,21.55,0.063,0.096,40.2
2025,Skola_03,21,10,21.28,0.068,0.106,38.9
2023,Skola_04,20,8,18.0,0.047,0.066,45.5
2024,Skola_04,33,14,9.32,0.062,0.075,44.9
2025,Skola_04,34,14,22.51,0.054,0.091,41.8
2023,Skola_05,63,25,9.71,0.08,0.067,47.5
2024,Skola_05,35,14,13.63,0.048,0.147,46.7
2025,Skola_05,32,15,17.17,0.045,0.131,46.2
2023,Skola_06,34,13,19.0,0.049,0.072,50.1
2024,Skola_06,64,22,11.37,0.053,0.148,44.3
2025,Skola_06,29,12,21.7,0.043,0.162,41.9
2023,Skola_07,53,22,8.6,0.072,0.104,42.1
2024,Skola_07,56,27,17.83,0.057,0.108,38.4
2025,Skola_07,31,12,21.03,0.078,0.091,43.7
2023,Skola_08,60,20,18.45,0.051,0.115,49.3
2024,Skola_08,35,18,16.99,0.053,0.096,38.0
2025,Skola_08,24,12,9.49,0.062,0.198,43.1
2023,Skola_09,55,26,22.44,0.06,0.145,38.6
2024,Skola_09,18,7,7.11,0.045,0.136,41.7
2025,Skola_09,55,22,15.71,0.054,0.102,45.2
2023,Skola_10,29,15,16.63,0.069,0.112,42.1
2024,Skola_10,33,13,16.39,0.046,0.146,50.7
2025,Skola_10,32,13,7.35,0.063,0.196,45.1
2023,Skola_11,55,20,17.53,0.079,0.123,44.4
2024,Skola_11,27,9,15.15,0.057,0.144,44.1
2025,Skola_11,20,7,7.93,0.052,0.154,39.3
2023,Skola_12,43,16,23.72,0.068,0.161,49.7
2024,Skola_12,26,11,20.66,0.043,0.176,42.8
2025,Skola_12,59,29,20.85,0.06,0.175,45.1
2023,Skola_13,50,17,11.74,0.069,0.185,50.4
2024,Skola_13,40,15,20.56,0.061,0.092,50.2
2025,Skola_13,42,20,15.11,0.058,0.189,46.3
2023,Skola_14,50,20,8.22,0.061,0.116,43.7
2024,Skola_14,35,13,13.51,0.075,0.19,38.2
2025,Skola_14,18,8,12.1,0.062,0.074,42.2
2023,Skola_15,20,9,14.34,0.057,0.152,44.9
2024,Skola_15,38,19,16.07,0.062,0.095,43.1
2025,Skola_15,25,8,13.26,0.08,0.086,50.8
2023,Skola_16,42,21,14.29,0.072,0.167,44.3
2024,Skola_16,43,21,9.32,0.077,0.18,47.4
2025,Skola_16,44,15,6.29,0.042,0.163,44.4
2023,Skola_17,59,26,20.61,0.052,0.189,50.7
2024,Skola_17,57,25,5.09,0.068,0.099,42.6
2025,Skola_17,46,14,8.55,0.045,0.104,47.3
2023,Skola_18,37,16,17.62,0.041,0.072,44.8
2024,Skola_18,18,9,10.68,0.058,0.077,44.5
2025,Skola_18,21,7,20.51,0.046,0.172,43.5
2023,Skola_19,19,6,21.19,0.061,0.068,46.2
2024,Skola_19,41,14,16.29,0.079,0.08,48.7
2025,Skola_19,36,19,16.27,0.052,0.144,42.3
2023,Skola_20,50,26,9.55,0.081,0.126,42.0
2024,Skola_20,45,20,20.34,0.074,0.121,49.9
2025,Skola_20,23,9,18.36,0.083,0.117,47.0
2023,Skola_21,29,15,11.04,0.062,0.188,41.9
2024,Skola_21,20,10,15.89,0.056,0.165,46.1
2025,Skola_21,64,20,10.73,0.071,0.166,44.6
2023,Skola_22,42,22,10.44,0.074,0.115,39.5
2024,Skola_22,19,9,15.02,0.06,0.14,46.6
2025,Skola_22,32,13,23.73,0.05,0.121,49.6
2023,Skola_23,55,23,11.22,0.08,0.119,45.1
2024,Skola_23,22,10,21.57,0.066,0.079,45.8
2025,Skola_23,43,19,24.83,0.081,0.113,38.5
2023,Skola_24,52,19,12.2,0.041,0.063,38.1
2024,Skola_24,23,7,10.0,0.048,0.077,39.7
2025,Skola_24,61,30,9.09,0.082,0.122,47.3
2023,Skola_25,30,10,20.57,0.054,0.153,38.0
2024,Skola_25,21,10,16.94,0.055,0.094,38.8
2025,Skola_25,59,25,10.76,0.046,0.1,47.9
