Year;District;Expected_Entrants_F
2026;Centrum;751
2027;Centrum;709
2028;Centrum;667
2029;Centrum;616
2030;Centrum;617
2031;Centrum;621
2032;Centrum;621
2033;Centrum;609
2026;Hisingen;566
2027;Hisingen;571
2028;Hisingen;509
2029;Hisingen;498
2030;Hisingen;551
2031;Hisingen;540
2032;Hisingen;516
2033;Hisingen;499
2026;Nordost;628
2027;Nordost;681
2028;Nordost;639
2029;Nordost;621
2030;Nordost;675
2031;Nordost;713
2032;Nordost;684
2033;Nordost;708
2026;Sydväst;472
2027;Sydväst;471
2028;Sydväst;470
2029;Sydväst;483
2030;Sydväst;503
2031;Sydväst;499
2032;Sydväst;519
2033;Sydväst;529
2026;Västra;662
2027;Västra;619
2028;Västra;614
2029;Västra;640
2030;Västra;597
2031;Västra;572
2032;Västra;648
2033;Västra;565
