Year,District,Age,Children_Count,Trend_Assumption
2025,Centrum,0,813,-0.0247
2025,Centrum,1,755,-0.0247
2025,Centrum,2,750,-0.0247
2025,Centrum,3,776,-0.0247
2025,Centrum,4,753,-0.0247
2025,Centrum,5,768,-0.0247
2026,Centrum,0,759,-0.0247
2026,Centrum,1,731,-0.0247
2026,Centrum,2,745,-0.0247
2026,Centrum,3,737,-0.0247
2026,Centrum,4,759,-0.0247
2026,Centrum,5,750,-0.0247
2027,Centrum,0,748,-0.0247
2027,Centrum,1,722,-0.0247
2027,Centrum,2,753,-0.0247
2027,Centrum,3,665,-0.0247
2027,Centrum,4,722,-0.0247
2027,Centrum,5,710,-0.0247
2028,Centrum,0,717,-0.0247
2028,Centrum,1,677,-0.0247
2028,Centrum,2,766,-0.0247
2028,Centrum,3,676,-0.0247
2028,Centrum,4,739,-0.0247
2028,Centrum,5,635,-0.0247
2029,Centrum,0,656,-0.0247
2029,Centrum,1,713,-0.0247
2029,Centrum,2,737,-0.0247
2029,Centrum,3,669,-0.0247
2029,Centrum,4,683,-0.0247
2029,Centrum,5,653,-0.0247
2030,Centrum,0,637,-0.0247
2030,Centrum,1,672,-0.0247
2030,Centrum,2,677,-0.0247
2030,Centrum,3,689,-0.0247
2030,Centrum,4,650,-0.0247
2030,Centrum,5,648,-0.0247
2031,Centrum,0,648,-0.0247
2031,Centrum,1,628,-0.0247
2031,Centrum,2,626,-0.0247
2031,Centrum,3,664,-0.0247
2031,Centrum,4,676,-0.0247
2031,Centrum,5,652,-0.0247
2032,Centrum,0,673,-0.0247
2032,Centrum,1,600,-0.0247
2032,Centrum,2,583,-0.0247
2032,Centrum,3,630,-0.0247
2032,Centrum,4,629,-0.0247
2032,Centrum,5,628,-0.0247
2033,Centrum,0,628,-0.0247
2033,Centrum,1,596,-0.0247
2033,Centrum,2,590,-0.0247
2033,Centrum,3,628,-0.0247
2033,Centrum,4,610,-0.0247
2033,Centrum,5,604,-0.0247
2025,Hisingen,0,610,-0.0187
2025,Hisingen,1,649,-0.0187
2025,Hisingen,2,634,-0.0187
2025,Hisingen,3,598,-0.0187
2025,Hisingen,4,682,-0.0187
2025,Hisingen,5,588,-0.0187
2026,Hisingen,0,635,-0.0187
2026,Hisingen,1,637,-0.0187
2026,Hisingen,2,628,-0.0187
2026,Hisingen,3,627,-0.0187
2026,Hisingen,4,549,-0.0187
2026,Hisingen,5,594,-0.0187
2027,Hisingen,0,592,-0.0187
2027,Hisingen,1,577,-0.0187
2027,Hisingen,2,623,-0.0187
2027,Hisingen,3,606,-0.0187
2027,Hisingen,4,602,-0.0187
2027,Hisingen,5,538,-0.0187
