Scenario,Effective_Year,Action_Type,From_School,To_School,District,One_Time_Cost_MSEK,Receiving_Capacity_Increase_Students,Staff_Transfer_Ratio,Notes
A_Mild_Consolidation,2026,Merge,Skola_07,Skola_23,Västra,2.88,71,0.67,Syntetisk scenario-plan för kapacitetsanpassning
A_Mild_Consolidation,2027,Merge,Skola_23,Skola_01,Västra,7.13,61,0.8,Syntetisk scenario-plan för kapacitetsanpassning
A_Mild_Consolidation,2028,Merge,Skola_21,Skola_23,Västra,2.92,27,0.57,Syntetisk scenario-plan för kapacitetsanpassning
A_Mild_Consolidation,2029,Merge,Skola_03,Skola_04,Centrum,2.66,59,0.57,Syntetisk scenario-plan för kapacitetsanpassning
A_Mild_Consolidation,2029,Close,Skola_13,Skola_01,Västra,1.65,36,0.54,Syntetisk scenario-plan för kapacitetsanpassning
A_Mild_Consolidation,2030,Merge,Skola_05,Skola_16,Centrum,3.49,69,0.75,Syntetisk scenario-plan för kapacitetsanpassning
B_Aggressive_Consolidation,2026,Merge,Skola_10,Skola_14,Sydväst,1.38,91,0.74,Syntetisk scenario-plan för kapacitetsanpassning
B_Aggressive_Consolidation,2026,Close,Skola_19,Skola_07,Västra,1.76,128,0.45,Syntetisk scenario-plan för kapacitetsanpassning
B_Aggressive_Consolidation,2027,Merge,Skola_11,Skola_25,Hisingen,5.89,13,0.83,Syntetisk scenario-plan för kapacitetsanpassning
B_Aggressive_Consolidation,2027,Close,Skola_22,Skola_14,Sydväst,2.07,128,0.4,Syntetisk scenario-plan för kapacitetsanpassning
B_Aggressive_Consolidation,2028,Merge,Skola_08,Skola_03,Centrum,5.82,91,0.74,Syntetisk scenario-plan för kapacitetsanpassning
B_Aggressive_Consolidation,2028,Merge,Skola_21,Skola_13,Västra,6.11,40,0.59,Syntetisk scenario-plan för kapacitetsanpassning
B_Aggressive_Consolidation,2028,Close,Skola_01,Skola_07,Västra,3.41,118,0.43,Syntetisk scenario-plan för kapacitetsanpassning
B_Aggressive_Consolidation,2028,Merge,Skola_20,Skola_07,Västra,7.13,25,0.81,Syntetisk scenario-plan för kapacitetsanpassning
B_Aggressive_Consolidation,2029,Merge,Skola_05,Skola_16,Centrum,6.01,25,0.85,Syntetisk scenario-plan för kapacitetsanpassning
B_Aggressive_Consolidation,2030,Close,Skola_14,Skola_12,Sydväst,1.94,59,0.47,Syntetisk scenario-plan för kapacitetsanpassning
C_Baseline_NoChange,2026,,-,-,-,0.0,0,0.0,Ingen strukturförändring (baseline)
