School,District,Building_Year,Facility_Area_sqm,Max_Capacity_Students,Maintenance_Backlog_MSEK,Energy_Cost_MSEK_per_Year
Skola_01,Västra,1980.0,9199.0,511.0,13.44,2.46
Skola_02,Centrum,1980.0,6739.0,368.0,15.84,1.23
Skola_03,Centrum,1966.0,11455.0,744.0,5.02,1.46
Skola_04,Centrum,2010.0,6497.0,412.0,11.41,2.41
Skola_05,Centrum,1964.0,9082.0,850.0,16.5,0.85
Skola_06,Sydväst,1958.0,10740.0,557.0,9.22,0.99
Skola_07,Västra,1983.0,4264.0,883.0,7.25,1.13
Skola_08,Centrum,2016.0,9011.0,451.0,4.46,0.87
Skola_09,Västra,1990.0,10125.0,879.0,6.62,1.14
Skola_10,Sydväst,1959.0,4287.0,333.0,8.41,2.47
Skola_11,Hisingen,1984.0,9597.0,715.0,8.47,1.41
Skola_12,Sydväst,1966.0,11739.0,824.0,3.02,1.95
Skola_13,Västra,1958.0,8218.0,576.0,12.77,0.7
Skola_14,Sydväst,2003.0,5808.0,756.0,15.83,0.87
Skola_15,Nordost,1994.0,4655.0,713.0,3.66,1.19
Skola_16,Centrum,2009.0,6258.0,344.0,12.76,1.55
Skola_17,Västra,2007.0,4501.0,469.0,5.76,1.59
Skola_18,Nordost,1967.0,8242.0,788.0,14.68,1.55
Skola_19,Västra,2004.0,8854.0,829.0,5.41,1.31
Skola_20,Västra,1996.0,8596.0,482.0,14.65,1.96
Skola_21,Västra,1982.0,3733.0,631.0,7.39,2.14
Skola_22,Sydväst,1983.0,5348.0,547.0,14.0,1.58
Skola_23,Västra,1962.0,9729.0,530.0,10.43,1.75
Skola_24,Västra,1971.0,11569.0,335.0,14.9,1.7
Skola_25,Hisingen,2000.0,10042.0,345.0,1.82,1.9
Skola_27,,,,,,
Skola_29,,,,,,
Skola_26,,,,,,
Skola_28,,,,,,
Skola_30,,,,,,
