School,District,Building_Year,Facility_Area_sqm,Max_Capacity_Students,Maintenance_Backlog_MSEK,Energy_Cost_MSEK_per_Year
Skola_01,Västra,1980,9199,511,13.44,2.46
Skola_02,Centrum,1980,6739,368,15.84,1.23
Skola_03,Centrum,1966,11455,744,5.02,1.46
Skola_04,Centrum,2010,6497,412,11.41,2.41
Skola_05,Centrum,1964,9082,850,16.5,0.85
Skola_06,Sydväst,1958,10740,557,9.22,0.99
Skola_07,Västra,1983,4264,883,7.25,1.13
Skola_08,Centrum,2016,9011,451,4.46,0.87
Skola_09,Västra,1990,10125,879,6.62,1.14
Skola_10,Sydväst,1959,4287,333,8.41,2.47
Skola_11,Hisingen,1984,9597,715,8.47,1.41
Skola_12,Sydväst,1966,11739,824,3.02,1.95
Skola_13,Västra,1958,8218,576,12.77,0.7
Skola_14,Sydväst,2003,5808,756,15.83,0.87
Skola_15,Nordost,1994,4655,713,3.66,1.19
Skola_16,Centrum,2009,6258,344,12.76,1.55
Skola_17,Västra,2007,4501,469,5.76,1.59
Skola_18,Nordost,1967,8242,788,14.68,1.55
Skola_19,Västra,2004,8854,829,5.41,1.31
Skola_20,Västra,1996,8596,482,14.65,1.96
Skola_21,Västra,1982,3733,631,7.39,2.14
Skola_22,Sydväst,1983,5348,547,14.0,1.58
Skola_23,Västra,1962,9729,530,10.43,1.75
Skola_24,Västra,1971,11569,335,14.9,1.7
Skola_25,Hisingen,2000,10042,345,1.82,1.9
