Year,School,Enrolled_Students,Grade_F1_3,Grade_4_6,Grade_7_9,Special_Needs_Ratio,Foreign_Background_Ratio,Avg_Distance_To_School_km,Avg_Merit_Score_Grade9,Teachers_FTE,Support_Staff_FTE,Avg_Teacher_Commute_km,Sick_Leave_Ratio,Teacher_Turnover_Ratio,Avg_Teacher_Age,Operating_Cost_MSEK,Personnel_Cost_MSEK,Cost_Per_Student_KSEK,District,Building_Year,Facility_Area_sqm,Max_Capacity_Students,Maintenance_Backlog_MSEK,Energy_Cost_MSEK_per_Year,Student_Teacher_Ratio,Utilization_Ratio,Support_to_Teacher_Ratio,Personnel_Share,Building_Age,Maintenance_per_Sqm_KSEK,Target_Year,Target_Operating_Cost_MSEK_NextYear,Target_Merit_Score_Grade9_NextYear,Target_Teacher_Shortage_Flag_NextYear,Target_Teacher_Shortage_Prob_NextYear
2023,Skola_01,427,120,141,146,0.178,0.332,1.39,262.6,46,17,7.87,0.042,0.154,40.1,35.59,16.29,114.0,Västra,1980,9199,511,13.44,2.46,9.28,0.836,0.37,0.458,43,1.461,2024,37.45,279.0,0,0.174
2024,Skola_01,485,159,163,171,0.176,0.426,1.38,233.5,39,12,11.03,0.068,0.068,50.9,43.16,44.67,122.8,Västra,1980,9199,511,13.44,2.46,12.44,0.949,0.308,1.035,44,1.461,2025,46.04,244.3,1,0.125
2025,Skola_01,359,116,111,101,0.108,0.492,0.88,210.5,26,9,21.68,0.046,0.105,50.2,51.78,56.95,137.2,Västra,1980,9199,511,13.44,2.46,13.81,0.703,0.346,1.1,45,1.461,2026,52.29,212.3,0,0.165
2023,Skola_02,382,133,129,137,0.132,0.348,1.1,244.0,56,27,6.62,0.064,0.152,40.7,30.07,24.93,116.0,Centrum,1980,6739,368,15.84,1.23,6.82,1.038,0.482,0.829,43,2.35,2024,31.77,270.2,0,0.189
2024,Skola_02,244,74,81,86,0.179,0.322,0.74,259.8,29,12,15.44,0.071,0.06,45.4,26.51,47.36,133.4,Centrum,1980,6739,368,15.84,1.23,8.41,0.663,0.414,1.5,44,2.35,2025,27.83,279.5,0,0.206
2025,Skola_02,349,104,106,119,0.115,0.306,4.44,261.7,20,7,20.71,0.049,0.125,44.7,40.42,53.84,122.6,Centrum,1980,6739,368,15.84,1.23,17.45,0.948,0.35,1.332,45,2.35,2026,42.1,262.3,1,0.368
2023,Skola_03,694,224,226,232,0.101,0.347,3.73,221.0,42,20,20.48,0.063,0.135,49.7,36.09,41.35,128.6,Centrum,1966,11455,744,5.02,1.46,16.52,0.933,0.476,1.146,57,0.438,2024,36.7,219.1,1,0.274
2024,Skola_03,608,179,201,196,0.112,0.471,1.36,221.6,28,10,21.55,0.063,0.096,40.2,67.21,56.74,140.7,Centrum,1966,11455,744,5.02,1.46,21.71,0.817,0.357,0.844,58,0.438,2025,70.7,214.1,0,0.278
2025,Skola_03,491,175,176,145,0.128,0.487,1.22,259.6,21,10,21.28,0.068,0.106,38.9,48.04,33.0,96.2,Centrum,1966,11455,744,5.02,1.46,23.38,0.66,0.476,0.687,59,0.438,2026,48.7,241.2,0,0.324
2023,Skola_04,285,101,99,80,0.08,0.303,2.91,242.3,20,8,18.0,0.047,0.066,45.5,48.3,21.79,101.0,Centrum,2010,6497,412,11.41,2.41,14.25,0.692,0.4,0.451,13,1.756,2024,50.45,250.5,1,0.084
2024,Skola_04,411,139,146,134,0.109,0.452,3.62,249.4,33,14,9.32,0.062,0.075,44.9,73.4,14.96,101.5,Centrum,2010,6497,412,11.41,2.41,12.45,0.998,0.424,0.204,14,1.756,2025,77.33,259.6,0,0.11
2025,Skola_04,283,101,101,88,0.139,0.262,4.75,259.1,34,14,22.51,0.054,0.091,41.8,63.85,38.96,116.5,Centrum,2010,6497,412,11.41,2.41,8.32,0.687,0.412,0.61,15,1.756,2026,67.11,272.0,0,0.071
2023,Skola_05,793,270,246,241,0.105,0.429,1.08,263.7,63,25,9.71,0.08,0.067,47.5,72.88,24.48,105.3,Centrum,1964,9082,850,16.5,0.85,12.59,0.933,0.397,0.336,59,1.817,2024,76.25,274.2,0,0.199
2024,Skola_05,874,290,262,263,0.155,0.531,3.47,239.9,35,14,13.63,0.048,0.147,46.7,54.36,18.69,129.5,Centrum,1964,9082,850,16.5,0.85,24.97,1.028,0.4,0.344,60,1.817,2025,57.22,212.1,0,0.271
2025,Skola_05,853,295,285,258,0.131,0.439,1.76,260.8,32,15,17.17,0.045,0.131,46.2,80.91,49.7,139.1,Centrum,1964,9082,850,16.5,0.85,26.66,1.004,0.469,0.614,61,1.817,2026,85.09,233.1,0,0.36
2023,Skola_06,465,155,142,133,0.143,0.334,1.81,263.4,34,13,19.0,0.049,0.072,50.1,26.6,32.66,140.1,Sydväst,1958,10740,557,9.22,0.99,13.68,0.835,0.382,1.228,65,0.858,2024,27.51,268.2,0,0.166
2024,Skola_06,399,126,141,113,0.136,0.348,0.84,255.2,64,22,11.37,0.053,0.148,44.3,75.01,40.13,127.7,Sydväst,1958,10740,557,9.22,0.99,6.23,0.716,0.344,0.535,66,0.858,2025,78.69,282.8,0,0.284
2025,Skola_06,446,145,150,150,0.104,0.468,4.68,232.7,29,12,21.7,0.043,0.162,41.9,38.76,25.67,98.3,Sydväst,1958,10740,557,9.22,0.99,15.38,0.801,0.414,0.662,67,0.858,2026,40.1,237.2,0,0.409
2023,Skola_07,754,233,242,263,0.113,0.517,3.34,229.7,53,22,8.6,0.072,0.104,42.1,78.82,26.72,144.6,Västra,1983,4264,883,7.25,1.13,14.23,0.854,0.415,0.339,40,1.7,2024,80.5,233.1,0,0.15
2024,Skola_07,632,208,205,208,0.17,0.43,1.61,222.2,56,27,17.83,0.057,0.108,38.4,22.43,49.16,121.3,Västra,1983,4264,883,7.25,1.13,11.29,0.716,0.482,1.5,41,1.7,2025,22.69,236.3,0,0.149
2025,Skola_07,916,313,282,326,0.133,0.263,4.52,231.5,31,12,21.03,0.078,0.091,43.7,24.65,43.18,130.1,Västra,1983,4264,883,7.25,1.13,29.55,1.037,0.387,1.5,42,1.7,2026,25.81,197.4,0,0.411
2023,Skola_08,297,95,90,85,0.095,0.298,0.92,212.8,60,20,18.45,0.051,0.115,49.3,66.08,44.62,128.9,Centrum,2016,9011,451,4.46,0.87,4.95,0.659,0.333,0.675,7,0.495,2024,65.23,241.5,0,0.065
2024,Skola_08,406,115,137,144,0.176,0.367,4.43,224.2,35,18,16.99,0.053,0.096,38.0,70.36,30.72,142.9,Centrum,2016,9011,451,4.46,0.87,11.6,0.9,0.514,0.437,8,0.495,2025,70.95,234.8,0,0.174
2025,Skola_08,455,127,163,129,0.119,0.412,4.36,259.4,24,12,9.49,0.062,0.198,43.1,52.42,25.78,144.6,Centrum,2016,9011,451,4.46,0.87,18.96,1.009,0.5,0.492,9,0.495,2026,53.46,256.7,0,0.233
